GmLine v3.0(Contour)
18	4.5
15449644.625534	4385298.013805	-1
15431705.075950	4388559.750092	-1
15405937.359275	4392800.007267	-1
15381474.337113	4400954.347986	-1
15374950.864535	4410087.209593	-1
15365491.829297	4426069.717403	-1
15358642.183089	4447271.003275	-1
15357011.314944	4482497.755185	-1
15368753.565585	4545449.265542	-1
15380821.989854	4560453.252467	-1
15394521.282266	4559800.905209	-1
15401044.754842	4553929.779891	-1
15405937.359275	4542187.529254	-1
15409199.095563	4523595.632413	-1
15419310.478056	4505982.256458	-1
15461713.049799	4485759.491473	-1
15492047.197277	4476626.629867	-1
15531840.379990	4470755.504549	-1
15576199.993506	4458034.733026	-1
15599684.494780	4445640.135131	-1
15615993.176222	4435528.752639	-1
15629040.121376	4426395.891032	-1
15636215.941213	4415632.161282	-1
15634911.246697	4409434.862335	-1
15624799.864201	4404542.257903	-1
15608165.009129	4398344.958956	-1
15591856.327689	4396387.917183	-1
15570002.694559	4395409.396297	-1
15549127.582316	4393126.180896	-1
15522381.344755	4391821.486380	-1
15491394.850019	4389212.097350	-1
15472802.953178	4386276.534691	-1
15449970.799163	4384971.840176	-1
26	4.5
15391259.545978	4446618.656018	-1
15387671.636061	4454772.996737	-1
15387671.636061	4462927.337457	-1
15387345.462432	4470429.330920	-1
15387345.462432	4474343.414465	-1
15387019.288803	4480214.539783	-1
15390933.372349	4487390.359617	-1
15400718.581214	4482497.755185	-1
15415070.220881	4472060.199064	-1
15433335.944094	4457056.212139	-1
15452906.361822	4442378.398844	-1
15475738.515837	4434224.058124	-1
15493351.891792	4430636.148207	-1
15514227.004035	4429657.627321	-1
15529557.164588	4425417.370146	-1
15535754.463535	4420198.592086	-1
15523686.039270	4417915.376684	-1
15500527.711626	4417915.376684	-1
15475738.515837	4415305.987654	-1
15455515.750852	4418893.897570	-1
15439207.069412	4419872.418457	-1
15424855.429745	4423786.502002	-1
15410829.963707	4430962.321836	-1
15401697.102100	4437485.794411	-1
15395173.629524	4441726.051586	-1
15391911.893235	4444987.787874	-1
25	4.0
15456820.445367	4412044.251366	-1
15487806.940103	4412696.598623	-1
15534449.769020	4413348.945881	-1
15560543.659324	4412370.424994	-1
15570655.041817	4418241.550313	-1
15558260.443922	4425091.196517	-1
15542604.109740	4430309.974578	-1
15526947.775558	4431940.842722	-1
15485523.724701	4440421.357071	-1
15457146.618996	4451185.086821	-1
15427790.992404	4468798.462776	-1
15406915.880161	4486085.665102	-1
15390607.198720	4500763.478397	-1
15380821.989855	4495870.873965	-1
15376907.906308	4473691.067207	-1
15380169.642597	4451511.260449	-1
15391259.545978	4432593.189979	-1
15405937.359275	4419872.418457	-1
15427790.992404	4414327.466767	-1
15442468.805700	4411065.730479	-1
15460734.528913	4409434.862335	-1
15477695.557610	4411065.730479	-1
15500527.711626	4412044.251366	-1
15519119.608467	4412696.598623	-1
15527926.296444	4412696.598623	-1
29	3.5
15479978.773012	4405520.778790	-1
15507051.184202	4406173.126047	-1
15571959.736332	4409434.862335	-1
15583701.986969	4411718.077737	-1
15585659.028741	4419220.071199	-1
15572285.909961	4428679.106434	-1
15557934.270294	4434876.405381	-1
15525969.254672	4444009.266988	-1
15481609.641156	4451837.434079	-1
15459103.660769	4462601.163829	-1
15429421.860548	4476300.456238	-1
15417353.436283	4487716.533246	-1
15407568.227419	4496197.047594	-1
15400392.407585	4504677.561943	-1
15391911.893235	4515441.291693	-1
15385388.420659	4519681.548867	-1
15380495.816226	4518376.854352	-1
15372341.475504	4504351.388314	-1
15371362.954617	4488042.706874	-1
15372667.649133	4461296.469313	-1
