GmLine v3.0(Contour)
8	500
15438908.720544	4519892.604645	-1
15446350.997321	4514517.626973	-1
15459443.891652	4511623.408226	-1
15471985.506221	4520168.244526	-1
15477636.123774	4525681.042138	-1
15481357.262162	4530229.100169	-1
15487145.699656	4535052.798080	-1
15492107.217507	4539876.495991	-1
15497206.555299	4541530.335275	-1
15501754.613329	4539600.856111	-1
15503959.732374	4537120.097185	-1
15505200.111837	4533674.598677	-1
15506027.031479	4529402.180527	-1
15507267.410942	4516447.106137	-1
15509196.890106	4510520.848704	-1
15514571.867779	4506937.530255	-1
15518293.006167	4504318.951389	-1
15519395.565690	4500597.813001	-1
15518568.646048	4493982.455865	-1
15518430.826108	4487367.098730	-1
15517741.726406	4480889.561535	-1
15517741.726406	4477581.882968	-1
15517603.906466	4474412.024340	-1
15519533.385630	4472206.905295	-1
15522565.424317	4469312.686548	-1
15525735.282945	4465729.368100	-1
15529318.601393	4462008.229712	-1
15531661.540378	4458976.191025	-1
15531661.540378	4452912.113651	-1
15528629.501691	4449466.615143	-1
15527802.582049	4447399.316038	-1
15526286.562706	4444918.557112	-1
15524357.083541	4442024.338365	-1
15521325.044854	4438992.299678	-1
15512228.928793	4431412.202961	-1
15507543.050823	4430723.103259	-1
15502168.073150	4430171.823498	-1
15497206.555299	4429069.263976	-1
15494312.336552	4428517.984214	-1
15490729.018104	4427553.244632	-1
15487834.799357	4426037.225289	-1
15486318.780014	4423832.106243	-1
15486594.419894	4420800.067557	-1
15487007.879715	4418319.308631	-1
15487283.519596	4415425.089884	-1
15487972.619297	4412530.871137	-1
15488799.538939	4410463.572033	-1
15489212.998760	4408396.272928	-1
15488937.358880	4406053.333942	-1
15488661.718999	4404812.954480	-1
15486318.780014	4403296.935136	-1
15484527.120789	4401780.915793	-1
15482459.821685	4401091.816091	-1
15478738.683296	4400678.356270	-1
15476947.024072	4399162.336927	-1
15475982.284490	4396681.578001	-1
15476395.744311	4392133.519970	-1
15477084.844012	4388412.381582	-1
15476809.204132	4381934.844387	-1
15474604.085087	4381107.924745	-1
15468953.467534	4381383.564626	-1
15465921.428847	4381659.204506	-1
15462200.290458	4381659.204506	-1
15459443.891652	4380556.644984	-1
15456549.672905	4378213.705998	-1
15454206.733920	4376008.586953	-1
15449383.036008	4377111.146476	-1
15446213.177381	4378764.985759	-1
15442767.678873	4379454.085461	-1
15440838.199709	4381107.924745	-1
15432431.183349	4381659.204506	-1
15424713.266691	4383175.223850	-1
15417133.169974	4386620.722357	-1
15414514.591108	4388825.841403	-1
15413412.031585	4391444.420269	-1
15411896.012242	4395716.838418	-1
15409277.433375	4399024.516986	-1
15405556.294987	4397921.957464	-1
15402662.076240	4396268.118180	-1
15399905.677433	4394614.278896	-1
15398251.838149	4391720.060149	-1
15396873.638746	4388136.741701	-1
15395633.259283	4384139.963432	-1
15394944.159581	4381107.924745	-1
15394117.239939	4377248.966416	-1
15395081.979522	4372425.268505	-1
15398251.838149	4368428.490235	-1
15399216.577732	4367601.570594	-1
15399216.577732	4365534.271489	-1
15397700.558388	4362502.232802	-1
