GmLine v3.0(Contour)
34	1.4
14564474.692457	4299484.011488	-1
14559402.188437	4299346.916785	-1
14554603.873823	4298935.632675	-1
14548845.896287	4298935.632675	-1
14540757.308795	4299621.106192	-1
14541716.971718	4300169.485005	-1
30	2.0
14555700.631449	4264387.767457	-1
14536096.088885	4265895.809193	-1
14517039.925133	4273161.828465	-1
14499354.708414	4281387.510660	-1
14491814.499736	4288790.624635	-1
14494145.109691	4302911.379070	-1
14503193.360105	4313467.671220	-1
14511693.231707	4318814.364646	-1
14518685.061572	4321556.258711	-1
14523894.660296	4322653.016337	-1
14529515.543129	4323338.489854	-1
14541168.592905	4322653.016337	-1
14557619.957295	4321830.448118	-1
14573934.226981	4319499.838163	-1
14586272.750274	4315524.091768	-1
14600393.504709	4315249.902362	-1
14608619.186905	4318540.175240	-1
14610949.796860	4323064.300447	-1
14608482.092201	4329919.035609	-1
14606562.766356	4335128.634333	-1
14605877.292839	4341434.990682	-1
14605466.008730	4346781.684109	-1
14604780.535213	4351031.619909	-1
14597103.231831	4355007.366304	-1
14579006.731002	4358571.828588	-1
14564200.503051	4362684.669686	-1
14538015.414730	4370910.351881	-1
14512652.894629	4375434.477088	-1
14493322.541471	4376257.045307	-1
14484411.385760	4373789.340649	-1
77	2.0
14554466.779120	4264524.862160	-1
14565023.071270	4264936.146270	-1
14578458.352189	4271105.407916	-1
14598337.084160	4278234.332485	-1
14618901.289650	4282347.173582	-1
14635901.032857	4288516.435228	-1
14659344.227127	4306750.030760	-1
14671819.845138	4312919.292406	-1
14691013.103635	4321830.448116	-1
14707738.657497	4333072.213782	-1
14718980.423229	4339652.759538	-1
14737488.208332	4348289.725842	-1
14748318.690031	4357200.881553	-1
15242482.111289	4370170.582662	-1
15261375.690466	4381549.168669	-1
15274158.020030	4387837.331890	-1
15286091.753818	4395828.042060	-1
15301572.186888	4409619.535778	-1
15318110.080187	4424844.398622	-1
15329950.806757	4433517.378597	-1
15347982.512660	4440396.863450	-1
15361370.474160	4441550.100094	-1
15371781.620571	4445373.400528	-1
15376301.504096	4449320.163118	-1
15377775.586696	4456902.382141	-1
15377281.568287	4469831.017142	-1
15374524.448344	4477701.030931	-1
15369319.420587	4479838.950255	-1
15362763.983721	4480285.365507	-1
15356177.202811	4478263.934731	-1
15343965.047868	4472233.139682	-1
15330102.702659	4466175.133086	-1
15323069.131138	4465691.804247	-1
15311701.418227	4468111.147086	-1
15302593.350973	4471475.979197	-1
15285753.658561	4480311.483541	-1
15280244.359349	4484120.237506	-1
15265788.140172	4485654.276098	-1
14754213.762450	4485247.334387	-1
14740367.197196	4485521.523793	-1
14733101.177835	4489223.080781	-1
14726246.442602	4494843.963614	-1
14716649.813294	4498819.710009	-1
14704037.100517	4502109.982887	-1
14684158.368468	4507867.960424	-1
14663045.784125	4513077.559148	-1
14647965.366752	4514585.600884	-1
14638780.021628	4510198.570380	-1
14629868.865913	4501424.509372	-1
14622739.941342	4491690.785442	-1
14614788.448552	4485247.334389	-1
14604917.629917	4478666.788633	-1
14595732.284799	4473594.284613	-1
14583119.572099	4467836.307077	-1
14575030.984607	4464271.844793	-1
14563240.840128	4463586.371276	-1
14553095.832088	4465094.413012	-1
14548982.990990	4466465.360045	-1
14548982.990990	4469207.254110	-1
14550628.127429	4475650.705162	-1
14553232.926791	4483876.387357	-1
14555837.726153	4493198.827178	-1
14556660.294372	4499916.467637	-1
14555974.820856	4508964.718052	-1
14547200.759848	4514859.790291	-1
14542676.634641	4514448.506181	-1
14532942.910710	4511980.801523	-1
14524580.133812	4504851.876954	-1
14520193.103308	4497997.141792	-1
14520056.008605	4490731.122520	-1
14522112.429154	4483739.292654	-1
14523483.376186	4478803.883337	-1
14520056.008605	4469344.348813	-1
14515943.167507	4464408.939496	-1
14500725.655447	4457417.109630	-1
14483725.912244	4451247.847984	-1
14483451.722838	4451110.753281	-1
17	2.2
14554603.873823	4498134.236495	-1
14553781.305604	4495118.153023	-1
14550216.843319	4490868.217223	-1
14545281.434002	4488811.796674	-1
14536507.372995	4487440.849642	-1
14529515.543129	4488948.891377	-1
14527047.838470	4490731.122520	-1
14525402.702031	4494432.679507	-1
14526910.743767	4498819.710011	-1
14529652.637832	4500464.846450	-1
14533902.573633	4503343.835218	-1
14538289.604137	4505537.350470	-1
14541305.687608	4506634.108096	-1
14546926.570441	4505948.634580	-1
14551313.600945	4503480.929922	-1
14554466.779120	4496900.384166	-1
14553644.210901	4497860.047088	-1
38	1.8
14485645.238090	4503069.645812	-1
14492499.973252	4509238.907458	-1
14500040.181931	4514996.884995	-1
14507580.390609	4519109.726092	-1
14514298.031068	4520480.673124	-1
14519918.913902	4521988.714860	-1
14530612.300755	4530351.491758	-1
14541854.066421	4534464.332856	-1
14552821.642681	4535012.711669	-1
14560910.230173	4530762.775868	-1
14571192.332916	4530625.681165	-1
14583805.045616	4531996.628197	-1
14593675.864250	4532819.196417	-1
14602312.830555	4533641.764636	-1
14607248.239872	4532133.722900	-1
14607522.429279	4530077.302351	-1
14604643.440510	4528706.355319	-1
14599982.220600	4525004.798331	-1
14588466.265526	4520343.578421	-1
14580377.678034	4518012.968466	-1
14571877.806433	4516367.832027	-1
14555700.631449	4517327.494950	-1
14538700.888247	4517190.400246	-1
14534176.763039	4514448.506181	-1
14527596.217283	4512529.180336	-1
14516491.546320	4503069.645812	-1
14512378.705223	4496763.289462	-1
14511830.326410	4490594.027816	-1
14514846.409881	4486344.092016	-1
14516902.830430	4483876.387357	-1
14518547.966869	4481957.061512	-1
14518273.777463	4478666.788634	-1
14515394.788694	4475239.421053	-1
14509225.527048	4472223.337581	-1
14503330.454809	4470852.390549	-1
14483314.628134	4467287.928264	-1
14481943.681102	4467425.022967	-1
14481669.491695	4467562.117671	-1
32	1.8
14490717.742110	4355281.555710	-1
14497435.382569	4361450.817357	-1
14513201.273442	4364466.900828	-1
14525539.796735	4365152.374344	-1
14536781.562401	4365700.753157	-1
14548160.422771	4364741.090234	-1
14558990.904327	4361862.101466	-1
14568450.438851	4358846.017995	-1
14577635.783969	4353088.040458	-1
14584353.424428	4349934.862284	-1
14591619.443701	4345684.926483	-1
14596280.663611	4340338.233056	-1
14599296.747083	4336499.581365	-1
14600941.883522	4331427.077345	-1
14601627.357038	4325669.099809	-1
14600941.883522	4323338.489853	-1
14597925.800051	4322378.826931	-1
14592990.390733	4323475.584557	-1
14589151.739042	4325120.720996	-1
14583805.045615	4327725.520357	-1
14577087.405156	4329507.751500	-1
14568724.628258	4329507.751500	-1
14560773.135470	4331152.887939	-1
14550216.843319	4333072.213784	-1
14537329.941214	4334443.160817	-1
14527870.406690	4336636.676069	-1
14516080.262211	4336225.391959	-1
14509911.000564	4332112.550861	-1
14504701.401841	4324572.342183	-1
14502096.602479	4321144.974602	-1
14497161.193162	4319362.743459	-1
14493870.920284	4321419.164008	-1
20	1.8
14602724.114665	4501835.793482	-1
14595458.095392	4503206.740515	-1
14583805.045616	4504851.876954	-1
14575990.647530	4503480.929922	-1
14564611.787161	4499368.088824	-1
14561869.893096	4496352.005353	-1
14560224.756657	4492787.543068	-1
14557757.051998	4488400.512564	-1
14554878.063230	4481819.966808	-1
14557208.673185	4477021.652195	-1
14564200.503051	4472771.716394	-1
14578595.446892	4472771.716394	-1
14588877.549636	4477295.841601	-1
14596006.474205	4480174.830369	-1
14605877.292840	4484698.955576	-1
14614788.448552	4491553.690739	-1
14617119.058508	4498545.520604	-1
14610401.418047	4501972.888186	-1
14603683.777588	4501972.888186	-1
14602724.114665	4502384.172295	-1
98	2.2
14488250.037451	4445489.870448	-1
14497024.098459	4451110.753281	-1
14509911.000564	4456731.636114	-1
14524305.944406	4460296.098398	-1
14534862.236556	4461392.856024	-1
14543362.108157	4459336.435476	-1
14553095.832088	4457554.204333	-1
14558716.714921	4456594.541411	-1
14565023.071270	4455223.594378	-1
14574893.889904	4457280.014927	-1
14589563.023152	4464408.939496	-1
14602038.641148	4471537.864065	-1
14616296.490288	4480860.303885	-1
14633707.517606	4497174.573572	-1
14638917.116331	4505811.539876	-1
14647142.798532	4510472.759786	-1
14660440.984760	4511432.422709	-1
14670723.087519	4508005.055128	-1
14683198.705542	4504166.403436	-1
14699512.975287	4498956.804712	-1
14708835.415157	4497997.141789	-1
14723230.359102	4492513.353659	-1
14728439.957873	4487852.133749	-1
14735294.693109	4481957.061509	-1
14743109.091297	4479763.546257	-1
14753939.573034	4479352.262148	-1
15252159.790131	4481223.967443	-1
15261216.678258	4483080.570167	-1
15275108.238460	4481310.713433	-1
15300674.623342	4467486.919575	-1
15310399.079170	4461060.142041	-1
15316959.048568	4452515.426857	-1
15316640.540912	4443750.862948	-1
15315676.604888	4435579.033454	-1
15310558.277085	4426863.385039	-1
15303023.908461	4414876.720983	-1
15281160.782729	4396021.030919	-1
15269736.690246	4387446.274038	-1
15262506.577881	4384083.561890	-1
15249485.678133	4378359.171096	-1
14755584.709429	4373103.867130	-1
14748318.690034	4363781.427309	-1
14740504.291840	4353636.419269	-1
14719940.086159	4342257.558899	-1
14707190.278682	4336499.581363	-1
14692384.050672	4325943.289214	-1
14671956.939842	4316895.038800	-1
14660303.890051	4312645.102999	-1
14645908.946199	4303185.568475	-1
14638505.832220	4296879.212126	-1
14633433.328197	4292492.181622	-1
14630143.055318	4289201.908744	-1
14623836.698967	4288379.340525	-1
14616707.774397	4287556.772305	-1
14608893.376311	4286185.825273	-1
14596006.474205	4282210.078879	-1
14575990.647530	4274258.586091	-1
14564611.787160	4270008.650290	-1
14552547.453275	4269186.082070	-1
14545144.339299	4271653.786729	-1
14538700.888247	4274944.059607	-1
14529652.637832	4276315.006639	-1
14518822.156276	4279056.900704	-1
14511830.326410	4282347.173582	-1
14506483.632983	4285226.162351	-1
14502096.602479	4288653.529932	-1
14500588.560744	4295371.170391	-1
14504290.117731	4301129.147927	-1
14507717.485312	4303871.041992	-1
14513201.273442	4309080.640716	-1
14522249.523857	4314701.523549	-1
14527870.406690	4317169.228207	-1
14540894.403499	4317443.417614	-1
14560773.135470	4316757.944098	-1
14579829.299221	4314838.618252	-1
14603409.588181	4310177.398341	-1
14615336.827365	4313604.765923	-1
14618490.005540	4318403.080536	-1
14616707.774397	4324572.342182	-1
14614240.069739	4330467.414422	-1
14612594.933299	4333072.213784	-1
14610812.702157	4336636.676068	-1
14610812.702157	4341160.801276	-1
14612046.554486	4349797.767580	-1
14613965.880332	4355418.650413	-1
14610675.607454	4360491.154434	-1
14601627.357038	4362821.764389	-1
14579966.393924	4364741.090234	-1
14564200.503051	4370773.257177	-1
14555015.157933	4374474.814165	-1
14547612.043958	4375982.855901	-1
14537467.035917	4377627.992340	-1
14526773.649064	4379410.223482	-1
14513475.462849	4381740.833437	-1
14500588.560744	4382426.306954	-1
14488112.942748	4378998.939372	-1
14490169.363297	4380232.791702	-1
14487153.279825	4379136.034076	-1
31	1.8
15346947.364572	4481774.208086	-1
15341970.726865	4479230.990312	-1
15335916.695096	4474976.411387	-1
15326275.419603	4472474.936045	-1
15313793.753702	4472636.988373	-1
15298019.336345	4478927.469005	-1
15289093.332056	4482968.275225	-1
15274654.023378	4488759.193497	-1
15267891.907992	4490319.085499	-1
15250334.524389	4492752.740229	-1
14744754.227771	4497585.857679	-1
14733649.556659	4500876.130557	-1
14724464.211445	4501835.793480	-1
14717883.665634	4502521.266996	-1
14709520.888678	4503343.835216	-1
14693343.713616	4507045.392204	-1
14679497.148546	4511295.328005	-1
14668118.288153	4514311.411477	-1
14660989.363574	4517875.873762	-1
14653037.870776	4519383.915498	-1
14640973.536882	4519246.820794	-1
14635215.559342	4520480.673124	-1
14630280.150023	4522948.377782	-1
14625618.930111	4526238.650660	-1
14622328.657232	4530077.302351	-1
14621780.278419	4534464.332855	-1
14627675.350661	4536246.563997	-1
14633844.612309	4537343.321623	-1
14638505.832222	4538577.173952	-1
14642755.768025	4538028.795139	-1
14646457.325015	4539399.742172	-1
21	2.2
15369699.245155	4471306.824456	-1
15372617.425618	4467815.820000	-1
15373350.716711	4464473.444291	-1
15373343.333321	4458300.458211	-1
15374033.033557	4456333.064166	-1
15371452.324828	4452666.716661	-1
15367397.197185	4449511.563339	-1
15361668.164421	4447978.620677	-1
15356811.709026	4445151.442681	-1
15348206.164241	4445733.642108	-1
15338279.713791	4447091.458575	-1
15331186.464324	4449767.574273	-1
15323483.468318	4453583.579799	-1
15321373.425102	4456883.875700	-1
15327793.476897	4462488.449949	-1
15346229.004514	4469197.246012	-1
15354476.738119	4473439.625653	-1
15360163.208246	4476346.037624	-1
15366380.676637	4474962.531494	-1
15370118.226118	4471415.533837	-1
15370382.070176	4471260.398750	-1
55	2.6
14566531.113006	4384482.727502	-1
14536918.657104	4390240.705039	-1
14521838.239747	4393668.072620	-1
14503604.644215	4402305.038925	-1
14497983.761382	4406280.785319	-1
14496612.814349	4416151.603953	-1
14501822.413073	4426433.706696	-1
14508402.958829	4432465.873639	-1
14521564.050341	4437949.661769	-1
14533902.573633	4437949.661769	-1
14548023.328067	4436852.904143	-1
14559813.472547	4437264.188253	-1
14567627.870632	4438772.229988	-1
14577635.783969	4442610.881679	-1
14590111.401965	4448505.953919	-1
14600667.694116	4456183.257301	-1
14613828.785629	4464957.318309	-1
14624933.456595	4476199.083975	-1
14636449.411672	4490868.217222	-1
14647828.272048	4501561.604075	-1
14659618.416539	4504988.971656	-1
14672779.508071	4501424.509372	-1
14689367.967207	4496626.194757	-1
14705408.047555	4490868.217221	-1
14716238.529178	4483465.103245	-1
14726657.726710	4477158.746895	-1
14737762.397794	4473045.905798	-1
14750923.489502	4471949.148172	-1
15251968.255298	4474367.007260	-1
